Incident Id;Primary Charge;Street;City;State;Zipcode;Date of Arrest;Time of Arrest;Age;Race;Gender;Ethnicity;Type of Arrest;Drugs or Alcohol Present;Weapon Present;Disposition;latitude_longitude
27662;IMPAIRED DRIVING DWI;1100 BLOCK MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27514;2011-11-06;12:15 AM;49;W;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.942568407,-79.057564002
27656;IMPAIRED DRIVING DWI;MARTIN LUTHER KING  JR BLVD AND TIMBER HOLLOW DR;CHAPEL HILL;NC;;2011-11-06;12:58 AM;29;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.941572,-79.057431
27649;POSS MARIJUANA MISD;751 TRINITY CT;CHAPEL HILL;NC;27516;2011-11-05;9:38 PM;44;B;M;N;ON VIEW;U;UNARMED;CLEARED BY ARREST;35.919449517,-79.0633485
27652;POSSESSION MARIJUANA;100 FAN BRANCH LN;CHAPEL HILL;NC;27516;2011-11-05;10:38 PM;19;W;M;H;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.890211724,-79.064633313
27646;FAIL TO DISPERSE;136 E ROSEMARY ST;CHAPEL HILL;NC;27514;2011-11-05;12:11 AM;18;B;M;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.914524843,-79.055017932
27655;POSSESSION MARIJUANA;100 FAN BRANCH LN;CHAPEL HILL;NC;27516;2011-11-05;10:38 PM;;;;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.890211724,-79.064633313
27653;POSSESSION MARIJUANA;100 FAN BRANCH LN;CHAPEL HILL;NC;27516;2011-11-05;10:38 PM;;;;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.890211724,-79.064633313
27647;DAMAGE-PERSONAL PROP;404 COTTON ST;CHAPEL HILL;NC;27516;2011-11-05;4:17 AM;19;A;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.914183805,-79.061880322
27648;DRUGS-MISD POSS;101 MANNING DR;CHAPEL HILL;NC;27514;2011-11-05;2:38 PM;;;;;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED;CLEARED BY ARREST;35.905356,-79.0510815
27665;IDENTITY THEFT;0 15-501/KINGS MILL RD;;NC;27516;2011-11-05;5:00 PM;33;B;M;N;ON VIEW;N;UNARMED;CLEARED BY ARREST;35.86228208,-79.177281813
27664;POSSESSION MARIJUANA;15-501 AND KINGSMILL RD;CHAPEL HILL;NC;27516;2011-11-05;5:15 PM;29;B;F;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.895543447,-79.038236634
27650;DEFRAUD INNKEEPER;101 MELVILLE LOOP;CHAPEL HILL;NC;27514;2011-11-05;10:26 PM;27;W;F;;SUMMONED/CITED;;UNARMED;CLEARED BY ARREST;35.94825,-79.0169985
27661;POSS MARIJUANA MISD;1100 BLOCK MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27514;2011-11-05;11:30 PM;;;;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.942568407,-79.057564002
27642;ASSAULT-SIMPLE;211 MELVILLE LOOP;CHAPEL HILL;NC;27514;2011-11-04;5:01 AM;;;;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.947017,-79.017003
27644;POSSESSION MARIJUANA;175 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-11-04;4:20 PM;46;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED;CLEARED BY ARREST;35.914130769,-79.053313631
27643;BURGLARY-1ST DEGREE;CORNER OF READE STREET AND WESLEY COURT;CHAPEL HILL;NC;27514;2011-11-04;3:43 PM;22;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.925831,-79.0614495
27645;ASSAULT ON GOVERNMENT OFFICIAL;150 EAST ROSEMARY ST;CHAPEL HILL;NC;27514;2011-11-04;11:21 PM;18;W;M;H;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.914838303,-79.054215869
27640;IMPAIRED DRIVING DWI;1500 BLOCK E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-11-03;2:57 AM;25;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.929661942,-79.034109279
27641;BREAKING/LARC-FELONY;150 EAST FRANKLIN STREET;CHAPEL HILL;NC;;2011-11-03;8:24 PM;46;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED;CLEARED BY ARREST;35.913258,-79.053462
27637;ASSAULT WITH A DEADLY WEAPON  F;800 PRITCHARD AVE;CHAPEL HILL;NC;27516;2011-11-02;9:15 AM;29;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED;CLEARED BY ARREST;35.921097968,-79.061017738
27635;FAIL TO APPEAR/COMPL;325 W ROSEMARY ST;CHAPEL HILL;NC;27516;2011-11-02;12:59 AM;33;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.912378852,-79.060639569
27639;ASSAULT ON FEMALE/SIMPLE ASSAULT;828 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27514;2011-11-02;6:19 PM;29;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED;CLEARED BY ARREST;35.926893,-79.0529265
27638;ASSAULT ON FEMALE;1106 ENVIRON WAY;CHAPEL HILL;NC;;2011-11-02;3:02 PM;;;;;TAKEN INTO CUSTODY (WARRANT/LP);;UNARMED;CLEARED BY ARREST;35.906820934,-79.021798314
27634;UNDERAGE POSSESSION;137 EAST FRANKLIN STREET;CHAPEL HILL;NC;27514;2011-11-01;9:58 PM;19;W;M;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.913694231,-79.054433926
27633;FAIL TO APPEAR/COMPL;104 PINEGATE CIR;CHAPEL HILL;NC;27514;2011-11-01;4:02 PM;31;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.947708993,-79.009010323
27628;ASSAULT & BATTERY;101 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-11-01;12:08 AM;21;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);U;UNARMED;CLEARED BY ARREST;35.913393,-79.0556805
27631;FAIL TO APPEAR/COMPL;147 EAST FRANKLIN STREET;CHAPEL HILL;NC;;2011-11-01;1:57 AM;24;B;M;;TAKEN INTO CUSTODY (WARRANT/LP);Y;UNARMED;ARREST/NO INVESTIGATION;35.913788245,-79.05420397
27630;IMPAIRED DRIVING DWI;1500 BLOCK E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-11-01;2:44 AM;27;B;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.929661942,-79.034109279
27632;IMPAIRED DRIVING DWI;306 LINDSAY ST;CA;NC;27510;2011-11-01;2:22 AM;21;W;M;H;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.915088657,-79.075069027
27629;DAMAGE-PERSONAL PROP;110 W FRANKLIN ST;CHAPEL HILL;NC;27516;2011-10-31;11:15 PM;;;;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.912920723,-79.05648283
27636;INDECENT EXPOSURE  M;POST OFFICE ALLEY;CHAPEL HILL;NC;;2011-10-31;11:30 PM;20;W;M;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;31.758687,-96.8861925
27626;PROBATION VIOLATION;100 MAIN ST;CARRBORO;NC;27510;2011-10-31;4:32 PM;35;H;M;H;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;ARREST/NO INVESTIGATION;35.910189,-79.072128
27627;PEEPING  F;179 E FRANKLIN ST;CHAPEL HILL;NC;27514;2011-10-31;10:43 PM;59;W;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.914536,-79.053291
27625;IMPAIRED DRIVING DWI;FORDHAM BLVD;CHAPEL HILL;NC;27514;2011-10-31;2:15 AM;28;W;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.929338389,-79.024222068
27621;IMPAIRED DRIVING DWI;751 TRINITY CT;CHAPEL HILL;NC;27516;2011-10-30;9:06 AM;29;B;M;N;ON VIEW;Y;UNARMED;ARREST/NO INVESTIGATION;35.919449517,-79.0633485
27622;POSSESSION MARIJUANA;200 HILLSBOROUGH ST;CHAPEL HILL;NC;27514;2011-10-30;3:54 AM;;;;;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.916641917,-79.049707509
27623;POSSESSION MARIJUANA;333 MCMASTERS ST;CHAPEL HILL;NC;27516;2011-10-30;3:41 PM;;;;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.917596309,-79.06476463
27624;POSS COCAINE FEL;333 MCMASTERS ST;CHAPEL HILL;NC;27516;2011-10-30;3:41 PM;;;;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.917596309,-79.06476463
27620;IMPAIRED DRIVING DWI;140 W FRANKLIN ST;CHAPEL HILL;NC;27516;2011-10-30;3:26 AM;21;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.912961,-79.057836
27619;ASSAULT & BATTERY;102 ISLEY ST;CHAPEL HILL;NC;27516;2011-10-29;11:05 PM;41;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.918379,-79.058727
27617;ASSAULT W DEADLY WEAPON;407 PRITCHARD AVE;CHAPEL HILL;NC;27516;2011-10-29;2:25 PM;55;B;M;N;ON VIEW;N;UNARMED;CLEARED BY ARREST;35.915706,-79.059132
27618;IMPAIRED DRIVING DWI;FORDHAM BLVD AT OLD DURHAM RD;CHAPEL HILL;NC;27514;2011-10-29;2:12 AM;26;W;F;N;ON VIEW;Y;UNARMED;ARREST/NO INVESTIGATION;35.944443,-79.0124715
27615;P/W/I/S/D MARIJUANA;FORDHAM BLVD;CHAPEL HILL;NC;27516;2011-10-28;9:10 PM;;;;;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.893533,-79.056888642
